State;StateAbbr;Category;JurisNameSimple;Jurisdiction;"Assistance to Households 
Rent, Rental Arrears, Utilities Paid (Excludes Housing Stability/Admin Costs)
$  (April 2021 - June 2022)";"Total ERA2 Allocation 
$ 4";Households Assisted (April 2021 - June 2022)
Louisiana;LA;City;New Orleans;City of New Orleans;13917497;15838032.6;2491
Louisiana;LA;Local Government;Jefferson Parish;Jefferson Parish;5363305;14518521.8;910
Louisiana;LA;Local Government;Lafayette City Parish;Lafayette City Parish;3973716;5766092.3;849
Louisiana;LA;Local Government;St. Tammany Parish;St. Tammany Parish;902544;6144277.5;377
Louisiana;LA;Local Government;Caddo Parish;Caddo Parish;6918457;8164154.2;3034
Louisiana;LA;Local Government;East Baton Rouge Parish;East Baton Rouge Parish;0;9698231.3;0
Oregon;OR;Total;Oregon;Oregon;172865392;244343125.8;36545
Oregon;OR;State Total;State/DC;State/DC;132729816;161705753.6;19918
Oregon;OR;State/DC;State of Oregon;State of Oregon;132729816;161705753.6;19918
Oregon;OR;Local Total;Local Government;Local Government;40135576;82637372.2;16627
Oregon;OR;City;Portland;City of Portland;16622870;25185809.1;11481
Oregon;OR;County;Clackamas;Clackamas County;4608075;9908500.2;1206
Oregon;OR;County;Lane;Lane County;7961949;13514988.9;1188
Oregon;OR;County;Marion;Marion County;0;8258777.3;0
Oregon;OR;County;Multnomah;Multnomah County;4866181;6180892.6;1926
Oregon;OR;County;Washington;Washington County;6076501;19588404.1;826
Puerto Rico;PR;Total;Puerto Rico;Puerto Rico;0;240350000;0
Puerto Rico;PR;Other Total;Territorial Government;Territorial Government;0;240350000;0
Puerto Rico;PR;Other;Government of Puerto Rico;Government of Puerto Rico;0;240350000;0
Connecticut;CT;Total;Connecticut;Connecticut;62358900;221555482.1;21152
Connecticut;CT;State Total;State/DC;State/DC;62358900;221555482.1;21152
Connecticut;CT;State/DC;State of Connecticut;State of Connecticut;62358900;221555482.1;21152
Oklahoma;OK;Total;Oklahoma;Oklahoma;73488784;221048644.6;25191
Oklahoma;OK;State Total;State/DC;State/DC;59743840;166171992.7;22033
Oklahoma;OK;State/DC;State of Oklahoma;State of Oklahoma;59743840;166171992.7;22033
Oklahoma;OK;Local Total;Local Government;Local Government;13744944;54876651.9;3158
Oklahoma;OK;Local Government;City of Oklahoma City;City of Oklahoma City;7659363;15559933.5;1815
Oklahoma;OK;City;Tulsa;City of Tulsa;0;9529689.4;0
Oklahoma;OK;County;Cleveland;Cleveland County;0;5081170.8;0
Oklahoma;OK;County;Oklahoma;Oklahoma County;5245263;13241927.5;1111
Oklahoma;OK;County;Tulsa;Tulsa County;840318;11463930.7;232
Nevada;NV;Total;Nevada;Nevada;80762860;185466825;14544
Nevada;NV;State Total;State/DC;State/DC;35260407;98790900.7;5983
Nevada;NV;State/DC;State of Nevada;State of Nevada;35260407;98790900.7;5983
Nevada;NV;Local Total;Local Government;Local Government;45502453;86675924.3;8561
Nevada;NV;City;Henderson;City of Henderson;0;7702744.4;0
Nevada;NV;City;Las Vegas;City of Las Vegas;13855905;15668695;2454
Nevada;NV;City;North Las Vegas;City of North Las Vegas;0;6061705.2;0
Nevada;NV;City;Reno;City of Reno;2848069;6148959.4;727
Nevada;NV;County;Clark;Clark County;25721290;45899509.6;4517
Nevada;NV;County;Washoe;Washoe County;3077189;5194310.7;863
Utah;UT;Total;Utah;Utah;43498721;176599428.8;9256
Utah;UT;State Total;State/DC;State/DC;34151855;112781088.2;7148
Utah;UT;State/DC;State of Utah;State of Utah;34151855;112781088.2;7148
Utah;UT;Local Total;Local Government;Local Government;9346866;63818340.6;2108
Utah;UT;Local Government;Davis County;Davis County;0;8508417;0
Utah;UT;City;e City;Salt Lake City;2561830;4800559.4;647
Utah;UT;County;Salt Lake;Salt Lake County;6785036;29052933.8;1461
Utah;UT;County;Utah;Utah County;0;15228247.5;0
Utah;UT;County;Weber;Weber County;0;6228182.9;0
Iowa;IA;Total;Iowa;Iowa;15459974;165991827.8;4647
Iowa;IA;State Total;State/DC;State/DC;14589;149014547.2;9
Iowa;IA;State/DC;State of Iowa;State of Iowa;14589;149014547.2;9
Iowa;IA;Local Total;Local Government;Local Government;15445385;16977280.6;4638
Iowa;IA;City;Des Moines;City of Des Moines;4685579;5072063.7;1334
Iowa;IA;County;Linn;Linn County;4728798;5367267.4;1588
Iowa;IA;County;Polk;Polk County;6031008;6537949.5;1716
Hawaii;HI;Total;Hawaii;Hawaii;60307603;165872769.2;11629
Hawaii;HI;State Total;State/DC;State/DC;27086687;95184413.3;4934
Hawaii;HI;State/DC;State of Hawaii;State of Hawaii;27086687;95184413.3;4934
Hawaii;HI;Local Total;Local Government;Local Government;33220916;70688355.9;6695
Hawaii;HI;County;City and County of H;City and County of Honolulu;32933466;59131356.1;6637
Hawaii;HI;County;Hawaii;Hawaii County;287450;11556999.8;58
Arkansas;AR;Total;Arkansas;Arkansas;6394819;159011280.6;2583
Arkansas;AR;State Total;State/DC;State/DC;0;137428626;0
Arkansas;AR;State/DC;State of Arkansas;State of Arkansas;0;137428626;0
Arkansas;AR;Local Total;Local Government;Local Government;6394819;21582654.6;2583
Arkansas;AR;County;Benton;Benton County;4550602;6618705.4;1167
Arkansas;AR;County;Washington;Washington County;1844217;5671357.1;1416
Arkansas;AR;County;Pulaski;Pulaski County;0;9292592.1;0
New Mexico;NM;Total;New Mexico;New Mexico;19306661;158428672.4;5486
New Mexico;NM;State Total;State/DC;State/DC;16691165;122728936.7;4938
New Mexico;NM;State/DC;State of New Mexico;State of New Mexico;16691165;122728936.7;4938
New Mexico;NM;Local Total;Local Government;Local Government;2615496;35699735.7;548
New Mexico;NM;Local Government;Bernalillo County;Bernalillo County;1200277;10297746.7;201
New Mexico;NM;City;Albuquerque;City of Albuquerque;0;18284318.5;0
New Mexico;NM;County;Dona Ana;Dona Ana County;1415219;7117670.5;347
Mississippi;MS;Total;Mississippi;Mississippi;64691137;158103425.6;19537
Mississippi;MS;State Total;State/DC;State/DC;56675092;145312577.8;17426
Mississippi;MS;State/DC;State of Mississippi;State of Mississippi;56675092;145312577.8;17426
Mississippi;MS;Local Total;Local Government;Local Government;8016045;12790847.8;2111
Mississippi;MS;County;Harrison;Harrison County;1949493;4897617.9;644
Mississippi;MS;County;Hinds;Hinds County;6066552;7893229.9;1467
Nebraska;NE;Total;Nebraska;Nebraska;28216274;156708947.2;5931
Nebraska;NE;State Total;State/DC;State/DC;0;120515161.8;0
Nebraska;NE;State/DC;State of Nebraska;State of Nebraska;0;120515161.8;0
Nebraska;NE;Local Total;Local Government;Local Government;28216274;36193785.4;5931
Nebraska;NE;City;Lincoln;City of Lincoln;4872570;10222547.1;1901
Nebraska;NE;City;Omaha;City of Omaha;23124210;16908704.3;3934
Nebraska;NE;County;Douglas;Douglas County;1;8002168.7;0
Nebraska;NE;County;Lancaster;Lancaster County;219493;1060365.3;96
Kansas;KS;Total;Kansas;Kansas;67476589;152887147.6;20344
Kansas;KS;State Total;State/DC;State/DC;59897415;143678586.9;15865
Kansas;KS;State/DC;State of Kansas;State of Kansas;59897415;143678586.9;15865
Kansas;KS;Local Total;Local Government;Local Government;7579174;9208560.7;4479
Kansas;KS;City;Wichita;City of Wichita;7579174;9208560.7;4479
Vermont;VT;Total;Vermont;Vermont;48544792;152000000;39807
Vermont;VT;State Total;State/DC;State/DC;48544792;152000000;39807
Vermont;VT;State/DC;State of Vermont;State of Vermont;48544792;152000000;39807
Idaho;ID;Total;Idaho;Idaho;6786933;152000000;1321
Idaho;ID;State Total;State/DC;State/DC;0;124769752.4;0
Idaho;ID;State/DC;State of Idaho;State of Idaho;0;124769752.4;0
Idaho;ID;Local Total;Local Government;Local Government;6786933;27230247.6;1321
Idaho;ID;Local Government;Ada County;Ada County;3219308;9669349;575
Idaho;ID;City;Boise;City of Boise;3567625;8763416.9;746
Idaho;ID;County;Canyon;Canyon County;0;8797481.7;0
Delaware;DE;Total;Delaware;Delaware;7817799;152000000;1298
Delaware;DE;State Total;State/DC;State/DC;7817799;96298931.6;1298
Delaware;DE;State/DC;State of Delaware;State of Delaware;7817799;96298931.6;1298
Delaware;DE;Local Total;Local Government;Local Government;0;55701068.4;0
Delaware;DE;County;New Castle;New Castle County;0;39248426.9;0
Delaware;DE;County;Sussex;Sussex County;0;16452641.5;0
New Hampshire;NH;Total;New Hampshire;New Hampshire;59398266;152000000;12737
New Hampshire;NH;State Total;State/DC;State/DC;58935189;115438767.8;12588
New Hampshire;NH;State/DC;State of New Hampshire;State of New Hampshire;58935189;115438767.8;12588
New Hampshire;NH;Local Total;Local Government;Local Government;463077;36561232.2;149
New Hampshire;NH;County;Hillsborough;Hillsborough County;0;20978362.3;0
New Hampshire;NH;County;Rockingham;Rockingham County;463077;15582869.9;149
Montana;MT;Total;Montana;Montana;14739280;152000000;2890
Montana;MT;State Total;State/DC;State/DC;14739280;152000000;2890
Montana;MT;State/DC;State of Montana;State of Montana;14739280;152000000;2890
Rhode Island;RI;Total;Rhode Island;Rhode Island;60504721;152000000;9978
Rhode Island;RI;State Total;State/DC;State/DC;60504721;152000000;9978
Rhode Island;RI;State/DC;State of Rhode Island;State of Rhode Island;60504721;152000000;9978
Wyoming;WY;Total;Wyoming;Wyoming;26109131;152000000;8226
Wyoming;WY;State Total;State/DC;State/DC;26109131;152000000;8226
Wyoming;WY;State/DC;State of Wyoming;State of Wyoming;26109131;152000000;8226
West Virginia;WV;Total;West Virginia;West Virginia;53240503;152000000;23388
West Virginia;WV;State Total;State/DC;State/DC;53240503;152000000;23388
West Virginia;WV;State/DC;State of West Virginia;State of West Virginia;53240503;152000000;23388
Maine;ME;Total;Maine;Maine;86304758;152000000;22643
Maine;ME;State Total;State/DC;State/DC;86304758;152000000;22643
Maine;ME;State/DC;State of Maine;State of Maine;86304758;152000000;22643
South Dakota;SD;Total;South Dakota;South Dakota;13880690;152000000;4542
South Dakota;SD;State Total;State/DC;State/DC;13880690;152000000;4542
South Dakota;SD;State/DC;State of South Dakota;State of South Dakota;13880690;152000000;4542
District of Columbia;DC;Total;District of Columbia;District of Columbia;139422382;152000000;38211
District of Columbia;DC;State Total;State/DC;State/DC;139422382;152000000;38211
District of Columbia;DC;State/DC;District of Columbia;District of Columbia;139422382;152000000;38211
Alaska;AK;Total;Alaska;Alaska;48673152;152000000;16443
Alaska;AK;State Total;State/DC;State/DC;38978995;125071786.4;13221
Alaska;AK;State/DC;State of Alaska;State of Alaska;38978995;125071786.4;13221
Alaska;AK;Local Total;Local Government;Local Government;9694157;26928213.6;3222
Alaska;AK;Local Government;Municipality of Anchorage;Municipality of Anchorage;9694157;26928213.6;3222
North Dakota;ND;Total;North Dakota;North Dakota;29582496;152000000;17807
North Dakota;ND;State Total;State/DC;State/DC;29582496;152000000;17807
North Dakota;ND;State/DC;State of North Dakota;State of North Dakota;29582496;152000000;17807
Guam;GU;Total;Guam;Guam;0;28964017.2;0
Guam;GU;Other Total;Territorial Government;Territorial Government;0;28964017.2;0
Guam;GU;Other;Government of Guam;Government of Guam;0;28964017.2;0
U.S. Virgin Islands;VI;Total;U.S. Virgin Islands;U.S. Virgin Islands;386291;18373958.5;86
U.S. Virgin Islands;VI;Other Total;Territorial Government;Territorial Government;386291;18373958.5;86
U.S. Virgin Islands;VI;Other;Government of the Virgin Islands;Government of the Virgin Islands;386291;18373958.5;86
Northern Mariana Islands;CM;Total;Northern Mariana Islands;Northern Mariana Islands;0;8965376.9;0
Northern Mariana Islands;CM;Other Total;Territorial Government;Territorial Government;0;8965376.9;0
Northern Mariana Islands;CM;Other;Northern Mariana Islands;Northern Mariana Islands;0;8965376.9;0
American Samoa;AS;Total;American Samoa;American Samoa;0;8346647.4;0
American Samoa;AS;Other Total;Territorial Government;Territorial Government;0;8346647.4;0
American Samoa;AS;Other;Government of American Samoa;Government of American Samoa;0;8346647.4;0
1Based on responses by states, local governments, and U.S. territories to the ERA2 Quarterly Q2 2021 (through June 30), Monthly July 2021, Monthly August 2021, Monthly September 2021,  Monthly October 2021, Monthly November 2021, Monthly December 2021, Monthly January 2022, Monthly February 2022, Monthly March 2022, Monthly April 2022, Monthly May 2022, and Monthly June 2022 reports obtained via Salesforce extract on August 8, 2022.;;;0;;;;
2The total dollar amount of ERA award funds paid under the subject ERA Project to or for participant households including payments for rent, rental arrears, utility/home energy costs, utility/home energy arrears, and other housing services and eligible expenses. This does not include funds paid for Housing Stability Services.;;;0;;;;
3The number of unique participant households whose rent, rental arrears, utility/home energy payments, utility/home energy arrears, or other expenses related to housing were fully or partially paid under the subject ERA Project. ;;;0;;;;
4Total amount of assistance allocated to the grantee by US Department of Treasury under the ERA2 program, including high-need allocation. ERA2 allocations for local governments that have been up-streamed to their county or state are included as part of the parent entity's allocation.;;;0;;;;
5June 2022 is the final monthly reporting period for ERA2.;;;0;;;;
